time, event, cpu_id, process_id, execution_time, start_deadline, end_deadline, total_waiting_time, score,count_of_expire, count of misses, total_score
23069,created,959095,959095,4,23071,23074,16,0,0,0,0
23069,picked,1,959095,4,23071,23074,16,0,0,0,0
23069,executing,1,959095,4,23071,23074,16,0,0,0,16
23070,created,148472,148472,1,23072,23075,37,0,0,0,16
23070,picked,0,148472,1,23072,23075,37,0,0,0,16
23070,executing,0,148472,1,23072,23075,37,0,0,0,53
23070,created,126110,126110,2,23074,23077,30,0,0,0,53
23070,picked,2,126110,2,23074,23077,30,0,0,0,53
23070,executing,2,126110,2,23074,23077,30,0,0,0,83
23071,created,784911,784911,3,23072,23075,24,0,0,0,83
23071,finished,0,148472,1,23072,23075,37,0,0,0,83
23071,picked,0,784911,3,23072,23075,24,0,0,0,83
23071,executing,0,784911,3,23072,23075,24,0,0,0,107
23071,created,275401,275401,3,23075,23080,68,0,0,0,107
23072,created,885044,885044,4,23074,23076,43,0,0,0,107
23072,finished,2,126110,2,23074,23077,30,0,0,0,107
23072,picked,2,275401,3,23075,23080,68,0,0,0,107
23072,executing,2,275401,3,23075,23080,68,1,0,0,175
23072,created,220856,220856,10,23076,23078,20,1,0,0,175
23073,created,206962,206962,6,23074,23078,27,1,0,0,175
23073,created,477054,477054,2,23074,23076,74,1,0,0,175
23073,finished,1,959095,4,23071,23074,16,1,0,0,175
23073,picked,1,477054,2,23074,23076,74,1,0,0,175
23073,executing,1,477054,2,23074,23076,74,1,0,0,249
23074,finished,0,784911,3,23072,23075,24,1,0,0,249
23074,picked,0,885044,4,23074,23076,43,1,0,0,249
23074,executing,0,885044,4,23074,23076,43,3,0,0,292
23074,created,508935,508935,7,23075,23077,30,3,0,0,292
23074,created,608509,608509,4,23077,23082,96,3,0,0,292
23075,created,458815,458815,3,23076,23081,68,3,0,0,292
23075,finished,2,275401,3,23075,23080,68,3,0,0,292
23075,picked,2,608509,4,23077,23082,96,3,0,0,292
23075,executing,2,608509,4,23077,23082,96,4,0,0,388
23075,created,714,714,8,23079,23081,79,4,0,0,388
23075,finished,1,477054,2,23074,23076,74,4,0,0,388
23075,picked,1,714,8,23079,23081,79,4,0,0,388
23075,executing,1,714,8,23079,23081,79,4,0,0,467
23076,created,695457,695457,5,23081,23084,61,4,0,0,467
23076,created,852196,852196,7,23080,23085,13,4,0,0,467
23077,created,83733,83733,7,23079,23084,40,4,0,0,467
23077,created,538318,538318,6,23078,23083,79,4,0,0,467
23078,finished,0,885044,4,23074,23076,43,4,0,0,467
23078,picked,0,538318,6,23078,23083,79,4,0,0,467
23078,executing,0,538318,6,23078,23083,79,5,0,0,546
23078,created,791817,791817,8,23081,23084,57,5,0,0,546
23078,created,316448,316448,2,23079,23081,42,5,0,0,546
23079,created,823070,823070,6,23084,23089,20,5,0,0,546
23079,finished,2,608509,4,23077,23082,96,5,0,0,546
23079,missed,-1,458815,3,23076,23081,68,5,0,0,546
23079,picked,2,695457,5,23081,23084,61,5,1,1,546
23079,executing,2,695457,5,23081,23084,61,8,1,1,607
23083,finished,1,714,8,23079,23081,79,8,1,1,607
23083,missed,-1,791817,8,23081,23084,57,8,1,1,607
23083,missed,-1,83733,7,23079,23084,40,8,2,2,607
23083,missed,-1,508935,7,23075,23077,30,8,3,3,607
23083,missed,-1,206962,6,23074,23078,27,8,4,4,607
23083,picked,1,823070,6,23084,23089,20,8,5,5,607
23083,executing,1,823070,6,23084,23089,20,12,5,5,627
23084,finished,0,538318,6,23078,23083,79,12,5,5,627
23084,finished,2,695457,5,23081,23084,61,12,5,5,627
23084,missed,-1,316448,2,23079,23081,42,12,5,5,627
23084,missed,-1,220856,10,23076,23078,20,12,6,6,627
23084,missed,-1,852196,7,23080,23085,13,12,7,7,627
23089,finished,1,823070,6,23084,23089,20,12,8,8,627
